CategoryId,Name,Path,AvailableCount,TotalCount
255982,Literatura erotyczna,,4293,4293
62537,Egipt,,0,0
122237,Nintendo Game Boy,,188,188
113825,Pow. iławski,,0,0
118072,Wieniawka,,0,0
64540,Pudełka i kartony,,5536,5536
49263,Element,,0,0
249961,I (1997-2003),,1,1
62594,Czechy,,0,0
4725,Szeregowe RS,,411,411
119549,Pow. oławski,,0,0
256467,Skóra,,13,13
118626,Mysłowice,,0,0
115803,Pow. świdwiński,,1,1
16223,Białoruś,,198,198
132155,CR2450,,259,259
117243,Pow. pleszewski,,0,0
57997,Bentley,,2,2
113643,Pow. oświęcimski,,0,0
120918,Pow. nyski,,0,0
18075,E21 (1975-1982),,6,6
258692,Silniki dmuchaw,,6000,6836
251248,Pozostałe,,3099,3099
121105,Pow. policki,,0,0
147923,Bagnety,,6000,11427
116288,Pow. nowotarski,,0,0
57991,Seria E15 (2007-2013),,16,16
12739,CL,,18,18
250222,Klamki wewnętrzne,,6000,27996
3687,Katalogi aukcyjne,,153,153
119766,Słupsk,,0,0
111793,Plastyka,,743,743
10300,Gdańsk i okolice,,2078,2078
16030,YoYo,,136,136
121131,Prądnik Czerwony,,0,0
253846,E84 (2009-2015),,63,63
